Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"D02",Absolute Quantification,"ABS","SM-NT-U-1",Ch1Unknown,"dsrAB","OK",6.8,QX200 ddPCR EvaGreen Supermix,136,,,8.4,5.5,83,14262,,,,,,14345,,,,,,,,,,,,,,,,,,1,1,5588,11094,4009.4,4050.4,"",,,,7.6,6.1,,,,,,,,,,,,,
"D03",Absolute Quantification,"ABS","CREC-CT-A-2",Ch1Unknown,"dsrAB","OK",47.3,QX200 ddPCR EvaGreen Supermix,946,,,51.3,43.4,560,13636,,,,,,14196,,,,,,,,,,,,,,,,,,1,1,6287,12342,3896.5,4229.6,"",,,,49.4,45.3,,,,,,,,,,,,,
"D04",Absolute Quantification,"ABS","CREC-NT-A-1",Ch1Unknown,"dsrAB","OK",33.2,QX200 ddPCR EvaGreen Supermix,664,,,36.4,30.1,423,14773,,,,,,15196,,,,,,,,,,,,,,,,,,1,1,5727,11318,3674,3886.8,"",,,,34.8,31.6,,,,,,,,,,,,,
"D05",Absolute Quantification,"ABS","CREC-UN-U-1",Ch1Unknown,"dsrAB","OK",63.9,QX200 ddPCR EvaGreen Supermix,1278,,,68.2,59.6,847,15183,,,,,,16030,,,,,,,,,,,,,,,,,,1,1,6171,11684,3593.6,4021.1,"",,,,66.1,61.7,,,,,,,,,,,,,
"D06",Absolute Quantification,"ABS","GR-NT-F-2",Ch1Unknown,"dsrAB","OK",9.8,QX200 ddPCR EvaGreen Supermix,196,,,11.5,8.1,124,14847,,,,,,14971,,,,,,,,,,,,,,,,,,1,1,5176,10842,3517.8,3578.5,"",,,,10.7,8.9,,,,,,,,,,,,,
"D07",Absolute Quantification,"ABS","WO-CT-U-3",Ch1Unknown,"dsrAB","OK",20.8,QX200 ddPCR EvaGreen Supermix,416,,,23.4,18.2,247,13868,,,,,,14115,,,,,,,,,,,,,,,,,,1,1,5491,10632,3515.5,3640,"",,,,22.1,19.4,,,,,,,,,,,,,
"D08",Absolute Quantification,"ABS","WO-UN-U-3",Ch1Unknown,"dsrAB","OK",50.8,QX200 ddPCR EvaGreen Supermix,1016,,,54.7,46.9,654,14811,,,,,,15465,,,,,,,,,,,,,,,,,,1,1,5660,11130,3499.8,3822.5,"",,,,52.8,48.8,,,,,,,,,,,,,
"E01",Absolute Quantification,"ABS","SM-CT-U-1",Ch1Unknown,"dsrAB","OK",15.3,QX200 ddPCR EvaGreen Supermix,306,,,17.5,13.1,185,14117,,,,,,14302,,,,,,,,,,,,,,,,,,1,1,6126,11715,4261.2,4357.7,"",,,,16.4,14.2,,,,,,,,,,,,,
"E02",Absolute Quantification,"ABS","SM-NT-U-2",Ch1Unknown,"dsrAB","OK",7,QX200 ddPCR EvaGreen Supermix,140,,,8.6,5.6,81,13565,,,,,,13646,,,,,,,,,,,,,,,,,,1,1,5729,11028,4047.5,4088.9,"",,,,7.8,6.3,,,,,,,,,,,,,
"E03",Absolute Quantification,"ABS","CREC-CT-A-3",Ch1Unknown,"dsrAB","OK",29,QX200 ddPCR EvaGreen Supermix,580,,,31.9,26,379,15207,,,,,,15586,,,,,,,,,,,,,,,,,,1,1,6065,11915,3858.4,4054.3,"",,,,30.5,27.5,,,,,,,,,,,,,
"E04",Absolute Quantification,"ABS","CREC-NT-A-2",Ch1Unknown,"dsrAB","OK",67.2,QX200 ddPCR EvaGreen Supermix,1344,,,71.9,62.5,782,13308,,,,,,14090,,,,,,,,,,,,,,,,,,1,1,6105,11760,3705.5,4152.5,"",,,,69.6,64.8,,,,,,,,,,,,,
"E05",Absolute Quantification,"ABS","CREC-UN-U-2",Ch1Unknown,"dsrAB","OK",36.4,QX200 ddPCR EvaGreen Supermix,728,,,39.8,33,441,14034,,,,,,14475,,,,,,,,,,,,,,,,,,1,1,5870,12249,3577.9,3842,"",,,,38.1,34.7,,,,,,,,,,,,,
"E06",Absolute Quantification,"ABS","GR-NT-F-3",Ch1Unknown,"dsrAB","OK",47.3,QX200 ddPCR EvaGreen Supermix,946,,,50.9,43.7,663,16175,,,,,,16838,,,,,,,,,,,,,,,,,,1,1,5857,11390,3602.4,3909.1,"",,,,49.1,45.4,,,,,,,,,,,,,
"E07",Absolute Quantification,"ABS","WO-CT-U-3",Ch1Unknown,"dsrAB","OK",18.5,QX200 ddPCR EvaGreen Supermix,370,,,20.8,16.3,256,16121,,,,,,16377,,,,,,,,,,,,,,,,,,1,1,5455,11015,3512.9,3630.2,"",,,,19.7,17.4,,,,,,,,,,,,,
"E08",Absolute Quantification,"ABS","Water",Ch1Negative Control,"dsrAB","CHECK",No Call,QX200 ddPCR EvaGreen Supermix,,,,,,0,15473,,,,,,15473,,,,,,,,,,,,,,,,,,1,1,0,0,3458,3458,"",,,,,,,,,,,,,,,,,,
"F01",Absolute Quantification,"ABS","SM-CT-U-1",Ch1Unknown,"dsrAB","OK",10.7,QX200 ddPCR EvaGreen Supermix,214,,,12.6,8.9,128,13953,,,,,,14081,,,,,,,,,,,,,,,,,,1,1,6084,12210,4247.3,4319.7,"",,,,11.7,9.8,,,,,,,,,,,,,
"F02",Absolute Quantification,"ABS","SM-NT-U-3",Ch1Unknown,"dsrAB","OK",10,QX200 ddPCR EvaGreen Supermix,200,,,11.8,8.1,111,13048,,,,,,13159,,,,,,,,,,,,,,,,,,1,1,5960,11680,4083.7,4147.7,"",,,,10.9,9,,,,,,,,,,,,,
"F03",Absolute Quantification,"ABS","CREC-CT-U-1",Ch1Unknown,"dsrAB","OK",19.2,QX200 ddPCR EvaGreen Supermix,384,,,21.6,16.8,246,14957,,,,,,15203,,,,,,,,,,,,,,,,,,1,1,5833,11847,3822.6,3952.5,"",,,,20.4,18,,,,,,,,,,,,,
"F04",Absolute Quantification,"ABS","CREC-NT-A-2",Ch1Unknown,"dsrAB","OK",32.1,QX200 ddPCR EvaGreen Supermix,642,,,35.1,29.2,445,16066,,,,,,16511,,,,,,,,,,,,,,,,,,1,1,5720,11518,3667,3878.7,"",,,,33.7,30.6,,,,,,,,,,,,,
"F05",Absolute Quantification,"ABS","CREC-UN-U-3",Ch1Unknown,"dsrAB","OK",86,QX200 ddPCR EvaGreen Supermix,1720,,,91,81,1075,14130,,,,,,15205,,,,,,,,,,,,,,,,,,1,1,6329,12123,3621,4222.1,"",,,,88.9,83.6,,,,,,,,,,,,,
"F06",Absolute Quantification,"ABS","GR-NT-S-1",Ch1Unknown,"dsrAB","OK",30.7,QX200 ddPCR EvaGreen Supermix,614,,,34,27.5,340,12853,,,,,,13193,,,,,,,,,,,,,,,,,,1,1,5658,11252,3616.2,3813,"",,,,32.4,29.1,,,,,,,,,,,,,
"F07",Absolute Quantification,"ABS","WO-NT-U-1",Ch1Unknown,"dsrAB","OK",26.3,QX200 ddPCR EvaGreen Supermix,526,,,29,23.5,353,15639,,,,,,15992,,,,,,,,,,,,,,,,,,1,1,5486,11004,3525.8,3690.8,"",,,,27.7,24.9,,,,,,,,,,,,,
"F08",Absolute Quantification,"ABS","SF Bay Sed",Ch1Positive Control,"dsrAB","OK",102,QX200 ddPCR EvaGreen Supermix,2040,,,107,96,1383,15322,,,,,,16705,,,,,,,,,,,,,,,,,,1,1,6097,12723,3488.7,4253.2,"",,,,104.4,98.9,,,,,,,,,,,,,
"G01",Absolute Quantification,"ABS","SM-CT-U-2",Ch1Unknown,"dsrAB","OK",5.3,QX200 ddPCR EvaGreen Supermix,106,,,6.6,4.1,68,15121,,,,,,15189,,,,,,,,,,,,,,,,,,1,1,5907,12271,4166.8,4203.1,"",,,,5.9,4.7,,,,,,,,,,,,,
"G02",Absolute Quantification,"ABS","SM-UN-U-1",Ch1Unknown,"dsrAB","OK",5.3,QX200 ddPCR EvaGreen Supermix,106,,,6.8,4.1,58,12741,,,,,,12799,,,,,,,,,,,,,,,,,,1,1,5835,11327,4017.9,4051,"",,,,6.1,4.7,,,,,,,,,,,,,
"G03",Absolute Quantification,"ABS","CREC-CT-U-2",Ch1Unknown,"dsrAB","OK",39.8,QX200 ddPCR EvaGreen Supermix,796,,,43.3,36.4,515,14964,,,,,,15479,,,,,,,,,,,,,,,,,,1,1,6204,12593,3844.7,4135.7,"",,,,41.6,38.1,,,,,,,,,,,,,
"G04",Absolute Quantification,"ABS","CREC-NT-A-3",Ch1Unknown,"dsrAB","OK",27.4,QX200 ddPCR EvaGreen Supermix,548,,,30.4,24.5,334,14164,,,,,,14498,,,,,,,,,,,,,,,,,,1,1,5918,12301,3702.6,3900.6,"",,,,28.9,25.9,,,,,,,,,,,,,
"G05",Absolute Quantification,"ABS","Water",Ch1Negative Control,"dsrAB","OK",0.45,QX200 ddPCR EvaGreen Supermix,9,,,0.93,0.18,6,15584,,,,,,15590,,,,,,,,,,,,,,,,,,1,1,3963,7010.6,3575.6,3576.9,"",,,,0.67,0.29,,,,,,,,,,,,,
"G06",Absolute Quantification,"ABS","GR-NT-S-1",Ch1Unknown,"dsrAB","OK",28.3,QX200 ddPCR EvaGreen Supermix,566,,,31.3,25.4,356,14598,,,,,,14954,,,,,,,,,,,,,,,,,,1,1,5540,11459,3555.5,3743.7,"",,,,29.8,26.8,,,,,,,,,,,,,
"G07",Absolute Quantification,"ABS","WO-NT-U-2",Ch1Unknown,"dsrAB","OK",28.4,QX200 ddPCR EvaGreen Supermix,568,,,31.3,25.5,372,15241,,,,,,15613,,,,,,,,,,,,,,,,,,1,1,5626,11304,3538.2,3723.2,"",,,,29.8,26.9,,,,,,,,,,,,,
"G08",Absolute Quantification,"ABS","BUFFER",Ch1Blank,"dsrAB","OK",Blank,QX200 ddPCR EvaGreen Supermix,,,,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,"",,,,,,,,,,,,,,,,,,
"H01",Absolute Quantification,"ABS","SM-CT-U-3",Ch1Unknown,"dsrAB","OK",3.5,QX200 ddPCR EvaGreen Supermix,70,,,4.6,2.5,43,14509,,,,,,14552,,,,,,,,,,,,,,,,,,1,1,5728,11030,4155.7,4176,"",,,,4,3,,,,,,,,,,,,,
"H02",Absolute Quantification,"ABS","SM-UN-U-1",Ch1Unknown,"dsrAB","OK",5.8,QX200 ddPCR EvaGreen Supermix,116,,,7.3,4.5,68,13719,,,,,,13787,,,,,,,,,,,,,,,,,,1,1,5651,11461,3984.5,4021.4,"",,,,6.5,5.1,,,,,,,,,,,,,
"H03",Absolute Quantification,"ABS","CREC-CT-U-3",Ch1Unknown,"dsrAB","OK",30.2,QX200 ddPCR EvaGreen Supermix,604,,,33.4,27.1,350,13439,,,,,,13789,,,,,,,,,,,,,,,,,,1,1,6168,12302,3847.2,4061.8,"",,,,31.9,28.6,,,,,,,,,,,,,
"H04",Absolute Quantification,"ABS","CREC-NT-U-1",Ch1Unknown,"dsrAB","OK",33.1,QX200 ddPCR EvaGreen Supermix,662,,,36.3,30,421,14748,,,,,,15169,,,,,,,,,,,,,,,,,,1,1,5849,11466,3658.9,3875.6,"",,,,34.7,31.5,,,,,,,,,,,,,
"H05",Absolute Quantification,"ABS","GR-NT-C-1",Ch1Unknown,"dsrAB","OK",48.6,QX200 ddPCR EvaGreen Supermix,972,,,52.5,44.7,601,14249,,,,,,14850,,,,,,,,,,,,,,,,,,1,1,5774,11477,3575.2,3895,"",,,,50.6,46.6,,,,,,,,,,,,,
"H06",Absolute Quantification,"ABS","GR-NT-S-2",Ch1Unknown,"dsrAB","OK",46.7,QX200 ddPCR EvaGreen Supermix,934,,,50.7,42.7,528,13046,,,,,,13574,,,,,,,,,,,,,,,,,,1,1,5646,11339,3519.8,3823.9,"",,,,48.7,44.6,,,,,,,,,,,,,
"H07",Absolute Quantification,"ABS","WO-NT-U-3",Ch1Unknown,"dsrAB","OK",34.8,QX200 ddPCR EvaGreen Supermix,696,,,38.1,31.6,444,14775,,,,,,15219,,,,,,,,,,,,,,,,,,1,1,5539,11209,3456.8,3683,"",,,,36.5,33.2,,,,,,,,,,,,,
"H08",Absolute Quantification,"ABS","BUFFER",Ch1Blank,"dsrAB","OK",Blank,QX200 ddPCR EvaGreen Supermix,,,,,,0,0,,,,,,0,,,,,,,,,,,,,,,,,,1,1,0,,,,"",,,,,,,,,,,,,,,,,,
