Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"G02",Absolute Quantification,"ABS","CREC-NT-A-3",Ch1Unknown,"gltA","Manual",75.7,QX200 ddPCR EvaGreen Supermix,1514,,,80.8,73.1,868,13059,,,,,,13927,,,,,,,,,,,,,,,,,,1,1,6214,11609,5501,5881.6,"",,,,0,0,,,,,,,,,,,,,
"G03",Absolute Quantification,"ABS","CREC-UN-U-3",Ch1Unknown,"gltA","Manual",281,QX200 ddPCR EvaGreen Supermix,5620,,,290,271,3424,12698,,,,,,16122,,,,,,,,,,,,,,,,,,1,1,7187,11907,6111.4,7342.3,"",,,,285.7,276.1,,,,,,,,,,,,,
"G04",Absolute Quantification,"ABS","GR-NT-F-2",Ch1Unknown,"gltA","Manual",108.4,QX200 ddPCR EvaGreen Supermix,2168,,,114.5,105.4,1231,12749,,,,,,13980,,,,,,,,,,,,,,,,,,1,1,6946,11862,5813.1,6345.7,"",,,,0,0,,,,,,,,,,,,,
"G05",Absolute Quantification,"ABS","WO-NT-U-1",Ch1Unknown,"gltA","Manual",206,QX200 ddPCR EvaGreen Supermix,4120,,,215,202,2242,11690,,,,,,13932,,,,,,,,,,,,,,,,,,1,1,6410,12144,5249.6,6359.1,"",,,,0,0,,,,,,,,,,,,,
"G06",Absolute Quantification,"ABS","water",Ch1Negative Control,"gltA","CHECK",No Call,QX200 ddPCR EvaGreen Supermix,,,,,,0,14363,,,,,,14363,,,,,,,,,,,,,,,,,,1,1,0,0,5148.4,5148.4,"",,,,,,,,,,,,,,,,,,
"H01",Absolute Quantification,"ABS","CREC-CT-U-3",Ch1Unknown,"gltA","Manual",66.5,QX200 ddPCR EvaGreen Supermix,1330,,,71.2,64.1,769,13222,,,,,,13991,,,,,,,,,,,,,,,,,,1,1,6214,11741,5310.9,5664.3,"",,,,69,0,,,,,,,,,,,,,
"H02",Absolute Quantification,"ABS","CREC-NT-A-3",Ch1Unknown,"gltA","Manual",72.1,QX200 ddPCR EvaGreen Supermix,1442,,,77,69.6,836,13222,,,,,,14058,,,,,,,,,,,,,,,,,,1,1,6214,11186,5115,5476,"",,,,75,0,,,,,,,,,,,,,
"H03",Absolute Quantification,"ABS","water",Ch1Negative Control,"gltA","Manual",0.07,QX200 ddPCR EvaGreen Supermix,1.4,,,0.35,0,1,16209,,,,,,16210,,,,,,,,,,,,,,,,,,1,1,7187,8006.2,5895.9,5896,"",,,,0.18,0.02,,,,,,,,,,,,,
"H04",Absolute Quantification,"ABS","GR-NT-F-3",Ch1Unknown,"gltA","Manual",18.9,QX200 ddPCR EvaGreen Supermix,378,,,24.2,16.6,60,3698,,,,,,3758,,,,,,,,,,,,,,,,,,1,1,6946,14460,4922.1,5074.4,"",,,,21,0,,,,,,,,,,,,,
"H05",Absolute Quantification,"ABS","WO-NT-U-2",Ch1Unknown,"gltA","Manual",228,QX200 ddPCR EvaGreen Supermix,4560,,,237,224,2518,11765,,,,,,14283,,,,,,,,,,,,,,,,,,1,1,6410,11823,5658.8,6745.5,"",,,,230,0,,,,,,,,,,,,,
"H06",Absolute Quantification,"ABS","rvt.10.20",Ch1Positive Control,"gltA","OK",569,QX200 ddPCR EvaGreen Supermix,11380,,,584,554,5808,9345,,,,,,15153,,,,,,,,,,,,,,,,,,1,1,10817,14700,6424.3,9596.4,"",,,,576,561,,,,,,,,,,,,,
