Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"C01",Absolute Quantification,"ABS","SM-CT-A-2 (1:10)",Ch1Unknown,"nirS","Manual",32.9,QX200 ddPCR EvaGreen Supermix,658,,,36.2,29.6,381,13443,381,0,60,13383,32.9,13824,,,,,,,,0.86,,,0.98,0.74,46.3,,,49.7,42.9,1,1,6000,12849,3258.9,3523.2,"",,,,34.6,31.2,,,,,,,0.92,0.8,,,48,44.6,
"C02",Absolute Quantification,"ABS","SM-NT-A-3 (1:10)",Ch1Unknown,"nirS","Manual",10.4,QX200 ddPCR EvaGreen Supermix,208,,,12.2,8.7,130,14573,130,0,61,14512,10.4,14703,,,,,,,,0.68,,,0.83,0.53,40,,,46,35,1,1,6000,12500,3072.9,3156.3,"",,,,11.4,9.5,,,,,,,0.76,0.6,,,43.2,37.7,
"C03",Absolute Quantification,"ABS","CREC-CT-A-1 (1:50)",Ch1Unknown,"nirS","Manual",4.9,QX200 ddPCR EvaGreen Supermix,98,,,6.2,3.7,60,14433,60,0,66,14367,4.88,14493,,,,,,,,0.48,,,0.62,0.33,32,,,39,25,1,1,6000,11895,2862.8,2900.2,"",,,,5.5,4.3,,,,,,,0.55,0.4,,,35.6,28.8,
"C04",Absolute Quantification,"ABS","CREC-MT-U-2 (1:50)",Ch1Unknown,"nirS","Manual",1.9,QX200 ddPCR EvaGreen Supermix,38,,,2.8,1.2,21,13300,21,0,45,13255,1.86,13321,,,,,,,,0.32,,,0.48,0.16,24,,,33,15,1,1,6000,11718,2724,2738.2,"",,,,2.29,1.48,,,,,,,0.4,0.24,,,28.7,19.5,
"C05",Absolute Quantification,"ABS","CREC-NT-U-3 (1:50)",Ch1Unknown,"nirS","Manual",3.3,QX200 ddPCR EvaGreen Supermix,66,,,4.4,2.3,38,13695,38,0,67,13628,3.26,13733,,,,,,,,0.36,,,0.5,0.23,27,,,34,19,1,1,6000,11860,2600.3,2625.9,"",,,,3.8,2.8,,,,,,,0.43,0.29,,,30.2,22.8,
"C06",Absolute Quantification,"ABS","GR-NT-F-1 (1:50)",Ch1Unknown,"nirS","Manual",36.3,QX200 ddPCR EvaGreen Supermix,726,,,39.8,32.8,409,13058,409,0,53,13005,36.3,13467,,,,,,,,0.88,,,1,0.77,46.9,,,50.2,43.6,1,1,6000,12539,2596.7,2898.6,"",,,,38.1,34.5,,,,,,,0.94,0.82,,,48.6,45.2,
"C07",Absolute Quantification,"ABS","GR-NT-S-3 (1:50)",Ch1Unknown,"nirS","Manual",6.8,QX200 ddPCR EvaGreen Supermix,136,,,8.5,5.4,79,13575,79,0,64,13511,6.83,13654,,,,,,,,0.55,,,0.7,0.4,36,,,42,29,1,1,6000,11898,2459.6,2514.2,"",,,,7.6,6.1,,,,,,,0.63,0.47,,,38.7,32.3,
"C08",Absolute Quantification,"ABS","WO-UN-U-1 (1:50)",Ch1Unknown,"nirS","Manual",9,QX200 ddPCR EvaGreen Supermix,180,,,11,7.3,92,11983,92,0,47,11936,9,12075,,,,,,,,0.66,,,0.84,0.49,40,,,46,33,1,1,6000,12391,2436.2,2512,"",,,,10,8.1,,,,,,,0.75,0.57,,,43,36.6,
"D01",Absolute Quantification,"ABS","SM-CT-A-2 (1:10)",Ch1Unknown,"nirS","Manual",43.5,QX200 ddPCR EvaGreen Supermix,870,,,47.1,39.9,555,14727,555,0,90,14637,43.5,15282,,,,,,,,0.86,,,0.96,0.76,46.2,,,49,43.4,1,1,6000,13066,3287.9,3643,"",,,,45.4,41.7,,,,,,,0.908,0.808,,,47.6,44.7,
"D02",Absolute Quantification,"ABS","SM-NT-U-1 (1:10)",Ch1Unknown,"nirS","Manual",0.08,QX200 ddPCR EvaGreen Supermix,1.6,,,0.39,0,1,14304,1,0,225,14079,0.0822,14305,,,,,,,,0.004,,,0.015,0,0.4,,,1.5,0,1,1,6000,6286.1,3006.6,3006.9,"",,,,0.2,0.02,,,,,,,0.0093,0,,,0.92,0,
"D03",Absolute Quantification,"ABS","CREC-CT-A-2 (1:50)",Ch1Unknown,"nirS","Manual",1.5,QX200 ddPCR EvaGreen Supermix,30,,,2.3,0.9,18,13875,18,0,76,13799,1.53,13893,,,,,,,,0.19,,,0.29,0.09,16,,,23,9,1,1,6000,11474,2837.9,2849.1,"",,,,1.91,1.19,,,,,,,0.24,0.142,,,19.5,12.6,
"D04",Absolute Quantification,"ABS","CREC-MT-U-3 (1:50)",Ch1Unknown,"nirS","Manual",1.9,QX200 ddPCR EvaGreen Supermix,38,,,2.7,1.2,25,15609,25,0,92,15517,1.88,15634,,,,,,,,0.21,,,0.31,0.12,18,,,24,11,1,1,6000,13304,2708.8,2725.7,"",,,,2.28,1.53,,,,,,,0.26,0.166,,,20.8,14.4,
"D05",Absolute Quantification,"ABS","CREC-UN-U-1 (1:50)",Ch1Unknown,"nirS","Manual",2.7,QX200 ddPCR EvaGreen Supermix,54,,,3.8,1.9,32,13820,32,0,85,13735,2.72,13852,,,,,,,,0.27,,,0.38,0.17,21,,,28,15,1,1,6000,11007,2616.7,2636.1,"",,,,3.23,2.27,,,,,,,0.33,0.22,,,24.8,18.1,
"D06",Absolute Quantification,"ABS","GR-NT-F-1 (1:50)",Ch1Unknown,"nirS","Manual",34.3,QX200 ddPCR EvaGreen Supermix,686,,,38.7,30,237,8006,237,0,8006,0,0,8243,,,,,,,,3.4E-05,,,5.2E-05,1.7E-05,0.0034,,,0.0052,0.0017,1,1,6000,11364,2541.8,2795.5,"",,,,36.6,32.1,,,,,,,5.1E-05,1.7E-05,,,0.0051,0.0017,
"D07",Absolute Quantification,"ABS","WO-CT-U-1 (1:50)",Ch1Unknown,"nirS","Manual",4.5,QX200 ddPCR EvaGreen Supermix,90,,,5.8,3.4,55,14409,55,0,44,14365,4.48,14464,,,,,,,,0.55,,,0.74,0.37,36,,,43,28,1,1,6000,12942,2489.4,2529.1,"",,,,5.1,3.9,,,,,,,0.65,0.46,,,39.5,31.8,
"D08",Absolute Quantification,"ABS","WO-UN-U-1 (1:50)",Ch1Unknown,"nirS","Manual",18.6,QX200 ddPCR EvaGreen Supermix,372,,,20.9,16.4,260,16306,260,0,59,16247,18.6,16566,,,,,,,,0.81,,,0.95,0.68,44.9,,,48.9,40.8,1,1,6000,13148,2478.3,2645.8,"",,,,19.8,17.5,,,,,,,0.88,0.75,,,46.9,42.8,
"E01",Absolute Quantification,"ABS","SM-CT-A-3 (1:10)",Ch1Unknown,"nirS","Manual",35.2,QX200 ddPCR EvaGreen Supermix,704,,,38.6,31.9,421,13850,421,0,60,13790,35.2,14271,,,,,,,,0.87,,,0.99,0.76,46.6,,,49.9,43.4,1,1,6000,12867,3228.2,3512.6,"",,,,36.9,33.5,,,,,,,0.93,0.82,,,48.3,45,
"E02",Absolute Quantification,"ABS","SM-NT-U-2 (1:10)",Ch1Unknown,"nirS","Manual",14.6,QX200 ddPCR EvaGreen Supermix,292,,,16.7,12.6,200,15989,199,1,59,15930,14.6,16189,,,,,,,,0.77,,,0.92,0.63,43.6,,,48.2,39.1,1,1,6000,12741,3034.5,3154.4,"",,,,15.7,13.6,,,,,,,0.85,0.7,,,45.9,41.3,
"E03",Absolute Quantification,"ABS","CREC-CT-A-3 (1:50)",Ch1Unknown,"nirS","Manual",5.9,QX200 ddPCR EvaGreen Supermix,118,,,7.4,4.6,70,14001,70,0,45,13956,5.87,14071,,,,,,,,0.61,,,0.79,0.43,38,,,45,31,1,1,6000,12131,2838.8,2885.1,"",,,,6.6,5.2,,,,,,,0.7,0.52,,,41.4,34.2,
"E04",Absolute Quantification,"ABS","CREC-NT-A-1 (1:50)",Ch1Unknown,"nirS","Manual",4.5,QX200 ddPCR EvaGreen Supermix,90,,,5.9,3.4,55,14231,55,0,72,14159,4.54,14286,,,,,,,,0.43,,,0.57,0.29,30,,,37,23,1,1,6000,11695,2682.8,2717.5,"",,,,5.2,4,,,,,,,0.5,0.36,,,33.6,26.8,
"E05",Absolute Quantification,"ABS","CREC-UN-U-2 (1:50)",Ch1Unknown,"nirS","Manual",2.3,QX200 ddPCR EvaGreen Supermix,46,,,3.3,1.5,25,12852,25,0,81,12771,2.29,12877,,,,,,,,0.24,,,0.34,0.13,19,,,26,12,1,1,6000,11200,2582.8,2599.5,"",,,,2.77,1.86,,,,,,,0.29,0.18,,,22.5,15.6,
"E06",Absolute Quantification,"ABS","GR-NT-F-2 (1:50)",Ch1Unknown,"nirS","Manual",2.4,QX200 ddPCR EvaGreen Supermix,48,,,3.4,1.6,27,13203,27,0,68,13135,2.4,13230,,,,,,,,0.28,,,0.41,0.16,22,,,29,15,1,1,6000,12388,2525.3,2545.4,"",,,,2.9,1.97,,,,,,,0.35,0.22,,,25.8,18.3,
"E07",Absolute Quantification,"ABS","WO-CT-U-1 (1:50)",Ch1Unknown,"nirS","Manual",5.5,QX200 ddPCR EvaGreen Supermix,110,,,7,4.3,66,14010,66,0,95,13915,5.53,14076,,,,,,,,0.41,,,0.53,0.29,29,,,35,23,1,1,6000,12222,2526.3,2571.8,"",,,,6.2,4.9,,,,,,,0.47,0.35,,,32,26,
"E08",Absolute Quantification,"ABS","WO-UN-U-2 (1:50)",Ch1Unknown,"nirS","Manual",30.8,QX200 ddPCR EvaGreen Supermix,616,,,33.9,27.7,377,14217,377,0,103,14114,30.8,14594,,,,,,,,0.78,,,0.89,0.68,43.9,,,47.2,40.6,1,1,6000,12303,2493,2746.4,"",,,,32.4,29.2,,,,,,,0.84,0.73,,,45.6,42.2,
"F01",Absolute Quantification,"ABS","SM-CT-U-1 (1:10)",Ch1Unknown,"nirS","Manual",6.9,QX200 ddPCR EvaGreen Supermix,138,,,8.5,5.6,85,14391,85,0,52,14339,6.93,14476,,,,,,,,0.62,,,0.79,0.45,38,,,45,32,1,1,6000,12826,3191.4,3248,"",,,,7.7,6.2,,,,,,,0.7,0.53,,,41.5,35,
"F02",Absolute Quantification,"ABS","SM-NT-U-3 (1:10)",Ch1Unknown,"nirS","Manual",38.3,QX200 ddPCR EvaGreen Supermix,766,,,41.7,35,506,15274,506,0,77,15197,38.3,15780,,,,,,,,0.87,,,0.97,0.76,46.4,,,49.4,43.4,1,1,6000,13090,3002.4,3325.8,"",,,,40,36.6,,,,,,,0.92,0.81,,,47.9,44.9,
"F03",Absolute Quantification,"ABS","CREC-CT-A-3 (1:50)",Ch1Unknown,"nirS","Manual",8.5,QX200 ddPCR EvaGreen Supermix,170,,,10,6.9,116,16036,114,2,69,15967,8.33,16152,,,,,,,,0.63,,,0.78,0.49,39,,,44,33,1,1,6000,11923,2828.2,2893.5,"",,,,9.3,7.7,,,,,,,0.71,0.56,,,41.6,35.9,
"F04",Absolute Quantification,"ABS","CREC-NT-A-2 (1:50)",Ch1Unknown,"nirS","Manual",5.2,QX200 ddPCR EvaGreen Supermix,104,,,6.6,4,59,13334,59,0,52,13282,5.19,13393,,,,,,,,0.53,,,0.7,0.36,35,,,42,27,1,1,6000,12748,2707.7,2751.9,"",,,,5.9,4.5,,,,,,,0.62,0.45,,,38.3,31,
"F05",Absolute Quantification,"ABS","CREC-UN-U-3 (1:50)",Ch1Unknown,"nirS","Manual",1.8,QX200 ddPCR EvaGreen Supermix,36,,,2.7,1.1,20,12984,20,0,66,12918,1.81,13004,,,,,,,,0.23,,,0.35,0.12,19,,,26,11,1,1,6000,11837,2607.7,2621.9,"",,,,2.25,1.44,,,,,,,0.29,0.17,,,22.6,15,
"F06",Absolute Quantification,"ABS","GR-NT-F-2 (1:50)",Ch1Unknown,"nirS","Manual",2.2,QX200 ddPCR EvaGreen Supermix,44,,,3.2,1.5,25,13126,25,0,75,13051,2.24,13151,,,,,,,,0.25,,,0.36,0.14,20,,,27,13,1,1,6000,11567,2539.9,2557.1,"",,,,2.72,1.82,,,,,,,0.31,0.19,,,23.5,16.4,
"F07",Absolute Quantification,"ABS","WO-CT-U-2 (1:50)",Ch1Unknown,"nirS","Manual",11.6,QX200 ddPCR EvaGreen Supermix,232,,,13.6,9.6,128,12895,128,0,52,12843,11.6,13023,,,,,,,,0.71,,,0.87,0.55,42,,,47,36,1,1,6000,12350,2502.9,2599.7,"",,,,12.6,10.6,,,,,,,0.79,0.63,,,44.3,38.7,
"F08",Absolute Quantification,"ABS","WO-UN-U-3 (1:50)",Ch1Unknown,"nirS","Manual",12.6,QX200 ddPCR EvaGreen Supermix,252,,,14.6,10.6,153,14247,153,0,67,14180,12.6,14400,,,,,,,,0.69,,,0.84,0.55,41,,,46,36,1,1,6000,12127,2444.6,2547.5,"",,,,13.6,11.6,,,,,,,0.77,0.62,,,43.5,38.4,
"G01",Absolute Quantification,"ABS","SM-CT-U-2 (1:10)",Ch1Unknown,"nirS","Manual",29.2,QX200 ddPCR EvaGreen Supermix,584,,,32.3,26.1,348,13846,348,0,51,13795,29.2,14194,,,,,,,,0.87,,,1,0.75,46.5,,,50.1,43,1,1,6000,13287,3164.2,3412.4,"",,,,30.8,27.6,,,,,,,0.93,0.81,,,48.4,44.7,
"G02",Absolute Quantification,"ABS","SM-UN-U-1 (1:50)",Ch1Unknown,"nirS","Manual",4.1,QX200 ddPCR EvaGreen Supermix,82,,,5.3,3,49,14149,49,0,39,14110,4.07,14198,,,,,,,,0.56,,,0.75,0.36,36,,,44,28,1,1,6000,12023,2962.5,2993.8,"",,,,4.7,3.5,,,,,,,0.66,0.46,,,39.8,31.6,
"G03",Absolute Quantification,"ABS","CREC-CT-U-1 (1:50)",Ch1Unknown,"nirS","Manual",2.1,QX200 ddPCR EvaGreen Supermix,42,,,3,1.4,25,14049,25,0,66,13983,2.09,14074,,,,,,,,0.27,,,0.4,0.15,22,,,29,14,1,1,6000,12613,2817.9,2835.3,"",,,,2.54,1.7,,,,,,,0.34,0.21,,,25.3,17.7,
"G04",Absolute Quantification,"ABS","CREC-NT-A-3 (1:50)",Ch1Unknown,"nirS","Manual",4.8,QX200 ddPCR EvaGreen Supermix,96,,,6.1,3.7,58,14245,58,0,46,14199,4.78,14303,,,,,,,,0.56,,,0.74,0.38,36,,,43,28,1,1,6000,12459,2693.6,2733.2,"",,,,5.4,4.2,,,,,,,0.65,0.47,,,39.5,32,
"G05",Absolute Quantification,"ABS","Water",Ch1Negative Control,"nirS","Manual",0,QX200 ddPCR EvaGreen Supermix,0,,,0.24,0,0,14810,0,0,316,14494,0,14810,,,,,,,,,,,,,,,,,,1,1,6000,0,2550.9,2550.9,"",,,,0.11,0,,,,,,,,,,,,,
"G06",Absolute Quantification,"ABS","GR-NT-F-3 (1:50)",Ch1Unknown,"nirS","Manual",9.6,QX200 ddPCR EvaGreen Supermix,192,,,11.4,7.8,110,13376,110,0,62,13314,9.64,13486,,,,,,,,0.64,,,0.79,0.49,39,,,45,33,1,1,6000,12158,2523.3,2601.9,"",,,,10.6,8.7,,,,,,,0.72,0.56,,,41.9,36,
"G07",Absolute Quantification,"ABS","WO-CT-U-3 (1:50)",Ch1Unknown,"nirS","Manual",9.4,QX200 ddPCR EvaGreen Supermix,188,,,11,7.7,124,15539,124,0,69,15470,9.35,15663,,,,,,,,0.64,,,0.79,0.5,39,,,44,34,1,1,6000,12438,2475.7,2554.6,"",,,,10.2,8.5,,,,,,,0.71,0.57,,,41.8,36.3,
"G08",Absolute Quantification,"ABS","Water",Ch1Negative Control,"nirS","Manual",0.16,QX200 ddPCR EvaGreen Supermix,3.2,,,0.51,0.02,2,14720,2,0,276,14444,0.16,14722,,,,,,,,,,,,,,,,,,1,1,6000,8377.6,2447.6,2448.4,"",,,,0.31,0.07,,,,,,,,,,,,,
"H01",Absolute Quantification,"ABS","SM-CT-U-3 (1:10)",Ch1Unknown,"nirS","Manual",6.3,QX200 ddPCR EvaGreen Supermix,126,,,7.8,5,77,14371,77,0,61,14310,6.29,14448,,,,,,,,0.56,,,0.71,0.4,36,,,42,29,1,1,6000,13631,3044.3,3100.8,"",,,,7,5.6,,,,,,,0.64,0.48,,,39,32.5,
"H02",Absolute Quantification,"ABS","SM-UN-U-1 (1:50)",Ch1Unknown,"nirS","Manual",5.4,QX200 ddPCR EvaGreen Supermix,108,,,6.8,4.3,73,15807,73,0,49,15758,5.42,15880,,,,,,,,0.6,,,0.77,0.42,37,,,44,31,1,1,6000,12875,2963.9,3009.5,"",,,,6.1,4.8,,,,,,,0.69,0.51,,,40.9,33.9,
"H03",Absolute Quantification,"ABS","CREC-CT-U-2 (1:50)",Ch1Unknown,"nirS","Manual",2.4,QX200 ddPCR EvaGreen Supermix,48,,,3.4,1.7,30,14579,30,0,50,14529,2.42,14609,,,,,,,,0.37,,,0.53,0.22,27,,,36,19,1,1,6000,12583,2779.6,2799.7,"",,,,2.89,2,,,,,,,0.45,0.29,,,31.5,23,
"H04",Absolute Quantification,"ABS","CREC-NT-A-3 (1:50)",Ch1Unknown,"nirS","Manual",3.8,QX200 ddPCR EvaGreen Supermix,76,,,5,2.9,50,15384,50,0,76,15308,3.82,15434,,,,,,,,0.4,,,0.53,0.27,28,,,35,22,1,1,6000,11715,2698.7,2727.9,"",,,,4.4,3.3,,,,,,,0.46,0.33,,,31.8,25,
"H05",Absolute Quantification,"ABS","GR-NT-C-1 (1:50)",Ch1Unknown,"nirS","Manual",21.1,QX200 ddPCR EvaGreen Supermix,422,,,23.7,18.5,251,13886,251,0,65,13821,21.1,14137,,,,,,,,0.79,,,0.92,0.66,44.2,,,48.3,40.1,1,1,6000,12735,2573.1,2753.5,"",,,,22.4,19.7,,,,,,,0.86,0.73,,,46.3,42.1,
"H06",Absolute Quantification,"ABS","GR-NT-S-1 (1:50)",Ch1Unknown,"nirS","Manual",6.2,QX200 ddPCR EvaGreen Supermix,124,,,7.8,4.8,67,12750,67,0,82,12668,6.17,12817,,,,,,,,0.45,,,0.58,0.32,31,,,37,25,1,1,6000,13305,2522,2578.3,"",,,,6.9,5.4,,,,,,,0.51,0.38,,,34.1,27.8,
"H07",Absolute Quantification,"ABS","WO-NT-U-1 (1:50)",Ch1Unknown,"nirS","Manual",19.3,QX200 ddPCR EvaGreen Supermix,386,,,21.9,16.8,224,13512,224,0,81,13431,19.3,13736,,,,,,,,0.73,,,0.86,0.61,42.3,,,46.5,38.1,1,1,6000,12194,2454.1,2612.9,"",,,,20.6,18.1,,,,,,,0.8,0.67,,,44.4,40.1,
"H08",Absolute Quantification,"ABS","SF Bay Sed (1:50)",Ch1Positive Control,"nirS","Manual",109,QX200 ddPCR EvaGreen Supermix,2180,,,115,103,1290,13266,1290,0,98,13168,109,14556,,,,,,,,,,,,,,,,,,1,1,6000,13193,2478.2,3427.7,"",,,,112.2,106.1,,,,,,,,,,,,,
