Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"C06",Absolute Quantification,"ABS","GR-NT-C-3 (1:50)",Ch1Unknown,"nirK","OK",54.8,QX200 ddPCR EvaGreen Supermix,1096,,,59,50.6,657,13776,652,5,425,13351,54.4,14433,,,,,,,,0.6,,,0.66,0.54,37.5,,,39.8,35.3,1,1,7686,12746,5297.6,5636.7,"Absolute Quantification Experiment",,,,57,52.7,,,,,,,0.63,0.571,,,38.7,36.4,
"C07",Absolute Quantification,"ABS","GR-NT-S-3 (1:50)",Ch1Unknown,"nirK","OK",56.3,QX200 ddPCR EvaGreen Supermix,1126,,,60.7,51.9,631,12865,628,3,517,12348,56,13496,,,,,,,,0.54,,,0.59,0.49,35.1,,,37.3,32.9,1,1,7217,11255,5090.7,5378.9,"Absolute Quantification Experiment",,,,58.6,54.1,,,,,,,0.567,0.513,,,36.2,33.9,
"C08",Absolute Quantification,"ABS","WO-UN-U-1 (1:50)",Ch1Unknown,"nirK","OK",174,QX200 ddPCR EvaGreen Supermix,3480,,,181,167,2137,13410,2119,18,1533,11877,172,15547,,,,,,,,0.552,,,0.582,0.523,35.6,,,36.8,34.4,1,1,8098,12002,5201.3,6136.1,"Absolute Quantification Experiment",,,,177.7,170.2,,,,,,,0.567,0.537,,,36.2,35,
"D01",Absolute Quantification,"ABS","SM-CT-A-3 (1:10)",Ch1Unknown,"nirK","OK",39.7,QX200 ddPCR EvaGreen Supermix,794,,,43.1,36.3,527,15343,524,3,312,15031,39.5,15870,,,,,,,,0.62,,,0.69,0.56,38.4,,,41,35.8,1,1,8320,12956,6290.1,6511.5,"Absolute Quantification Experiment",,,,41.5,38,,,,,,,0.659,0.589,,,39.7,37.1,
"D02",Absolute Quantification,"ABS","SM-NT-U-1 (1:10)",Ch1Unknown,"nirK","OK",9.8,QX200 ddPCR EvaGreen Supermix,196,,,11.5,8,121,14512,121,0,65,14447,9.77,14633,,,,,,,,0.65,,,0.8,0.5,39,,,45,34,1,1,7656,12514,5870.9,5925.8,"Absolute Quantification Experiment",,,,10.7,8.9,,,,,,,0.72,0.57,,,42.1,36.6,
"D03",Absolute Quantification,"ABS","CREC-CT-A-1 (1:50)",Ch1Unknown,"nirK","OK",73.2,QX200 ddPCR EvaGreen Supermix,1464,,,78.1,68.4,866,13481,861,5,543,12938,72.8,14347,,,,,,,,0.6,,,0.66,0.55,37.7,,,39.7,35.7,1,1,7840,12066,5642.8,6030.6,"Absolute Quantification Experiment",,,,75.7,70.8,,,,,,,0.631,0.578,,,38.7,36.7,
"D04",Absolute Quantification,"ABS","CREC-MT-U-2 (1:50)",Ch1Unknown,"nirK","OK",61.9,QX200 ddPCR EvaGreen Supermix,1238,,,66.4,57.4,727,13456,721,6,494,12962,61.4,14183,,,,,,,,0.59,,,0.64,0.53,37,,,39.2,34.9,1,1,7597,11566,5503.6,5814.3,"Absolute Quantification Experiment",,,,64.2,59.6,,,,,,,0.615,0.56,,,38.1,35.9,
"D05",Absolute Quantification,"ABS","CREC-NT-U-3 (1:50)",Ch1Unknown,"nirK","OK",76.9,QX200 ddPCR EvaGreen Supermix,1538,,,81.8,72,940,13919,926,14,567,13352,75.7,14859,,,,,,,,0.62,,,0.67,0.57,38.2,,,40.1,36.2,1,1,7051,10340,5245.2,5567.5,"Absolute Quantification Experiment",,,,79.4,74.4,,,,,,,0.643,0.591,,,39.1,37.2,
"D06",Absolute Quantification,"ABS","GR-NT-F-1 (1:50)",Ch1Unknown,"nirK","CHECK",No Call,QX200 ddPCR EvaGreen Supermix,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,1,1,0,,,,"Absolute Quantification Experiment",,,,,,,,,,,,,,,,,,
"D07",Absolute Quantification,"ABS","WO-CT-U-1 (1:50)",Ch1Unknown,"nirK","OK",82,QX200 ddPCR EvaGreen Supermix,1640,,,87,77,950,13190,943,7,713,12477,81.2,14140,,,,,,,,0.558,,,0.603,0.514,35.8,,,37.7,34,1,1,7496,11493,5138.7,5565.6,"Absolute Quantification Experiment",,,,84.5,79.2,,,,,,,0.581,0.536,,,36.8,34.9,
"D08",Absolute Quantification,"ABS","WO-UN-U-2 (1:50)",Ch1Unknown,"nirK","Manual",301,QX200 ddPCR EvaGreen Supermix,6020,,,311,291,3421,11740,3357,64,1732,10008,293,15161,,,,,,,,,,,,,,,,,,1,1,8020,11807,5394.9,6841.8,"Absolute Quantification Experiment",,,,306,296,,,,,,,,,,,,,
"E01",Absolute Quantification,"ABS","SM-CT-U-1 (1:10)",Ch1Unknown,"nirK","OK",44.4,QX200 ddPCR EvaGreen Supermix,888,,,48.2,40.7,530,13765,526,4,351,13414,44.1,14295,,,,,,,,0.6,,,0.66,0.53,37.4,,,39.9,34.8,1,1,8368,12936,6280.5,6527.2,"Absolute Quantification Experiment",,,,46.4,42.5,,,,,,,0.63,0.564,,,38.7,36.1,
"E02",Absolute Quantification,"ABS","SM-NT-U-2 (1:10)",Ch1Unknown,"nirK","OK",31.8,QX200 ddPCR EvaGreen Supermix,636,,,34.9,28.6,394,14395,391,3,249,14146,31.5,14789,,,,,,,,0.61,,,0.69,0.53,37.9,,,40.9,34.9,1,1,7933,12800,5865.3,6050,"Absolute Quantification Experiment",,,,33.4,30.2,,,,,,,0.649,0.571,,,39.4,36.4,
"E03",Absolute Quantification,"ABS","CREC-CT-A-2 (1:50)",Ch1Unknown,"nirK","OK",65.3,QX200 ddPCR EvaGreen Supermix,1306,,,70,60.7,764,13376,760,4,582,12794,65,14140,,,,,,,,0.557,,,0.607,0.508,35.8,,,37.8,33.7,1,1,7846,11826,5615.7,5951.3,"Absolute Quantification Experiment",,,,67.7,63,,,,,,,0.582,0.532,,,36.8,34.7,
"E04",Absolute Quantification,"ABS","CREC-MT-U-3 (1:50)",Ch1Unknown,"nirK","OK",76.4,QX200 ddPCR EvaGreen Supermix,1528,,,81.4,71.4,901,13437,891,10,570,12867,75.4,14338,,,,,,,,0.6,,,0.65,0.55,37.7,,,39.6,35.7,1,1,7326,10719,5434.5,5766.5,"Absolute Quantification Experiment",,,,78.9,73.8,,,,,,,0.629,0.578,,,38.6,36.7,
"E05",Absolute Quantification,"ABS","CREC-UN-U-1 (1:50)",Ch1Unknown,"nirK","OK",163,QX200 ddPCR EvaGreen Supermix,3260,,,171,156,1796,12081,1782,14,1121,10960,162,13877,,,,,,,,0.591,,,0.625,0.556,37.1,,,38.5,35.8,1,1,8097,12105,5419.1,6284.4,"Absolute Quantification Experiment",,,,166.9,159.2,,,,,,,0.608,0.573,,,37.8,36.4,
"E06",Absolute Quantification,"ABS","GR-NT-F-2 (1:50)",Ch1Unknown,"nirK","OK",61.6,QX200 ddPCR EvaGreen Supermix,1232,,,66.3,57,672,12493,669,3,327,12166,61.3,13165,,,,,,,,0.67,,,0.73,0.6,40,,,42.3,37.6,1,1,7602,13035,5229.4,5627.8,"Absolute Quantification Experiment",,,,64,59.3,,,,,,,0.699,0.633,,,41.2,38.8,
"E07",Absolute Quantification,"ABS","WO-CT-U-2 (1:50)",Ch1Unknown,"nirK","OK",104,QX200 ddPCR EvaGreen Supermix,2080,,,110,98,1134,12251,1127,7,788,11463,103,13385,,,,,,,,0.573,,,0.615,0.531,36.4,,,38.1,34.7,1,1,7700,11938,5147.6,5722.9,"Absolute Quantification Experiment",,,,107.2,101.1,,,,,,,0.595,0.552,,,37.3,35.6,
"E08",Absolute Quantification,"ABS","WO-UN-U-3 (1:50)",Ch1Unknown,"nirK","OK",156,QX200 ddPCR EvaGreen Supermix,3120,,,163,149,1782,12550,1769,13,1323,11227,155,14332,,,,,,,,0.546,,,0.578,0.514,35.3,,,36.7,34,1,1,8081,11901,5234,6062.9,"Absolute Quantification Experiment",,,,159.9,152.5,,,,,,,0.563,0.53,,,36,34.7,
"F01",Absolute Quantification,"ABS","SM-CT-U-2 (1:10)",Ch1Unknown,"nirK","OK",15.5,QX200 ddPCR EvaGreen Supermix,310,,,17.8,13.2,178,13403,178,0,105,13298,15.5,13581,,,,,,,,0.63,,,0.74,0.51,38.5,,,43,34.1,1,1,8311,13771,6250.8,6349.4,"Absolute Quantification Experiment",,,,16.7,14.4,,,,,,,0.69,0.57,,,40.8,36.3,
"F02",Absolute Quantification,"ABS","SM-NT-U-3 (1:10)",Ch1Unknown,"nirK","OK",16.8,QX200 ddPCR EvaGreen Supermix,336,,,19.2,14.5,194,13453,194,0,108,13345,16.8,13647,,,,,,,,0.64,,,0.76,0.52,39,,,43.3,34.7,1,1,7768,12889,5845.9,5946.1,"Absolute Quantification Experiment",,,,18.1,15.6,,,,,,,0.7,0.58,,,41.2,36.8,
"F03",Absolute Quantification,"ABS","CREC-CT-A-3 (1:50)",Ch1Unknown,"nirK","OK",101,QX200 ddPCR EvaGreen Supermix,2020,,,107,95,1148,12837,1137,11,806,12031,99.7,13985,,,,,,,,0.573,,,0.614,0.531,36.4,,,38.1,34.7,1,1,7939,11911,5651.4,6165.2,"Absolute Quantification Experiment",,,,103.7,97.8,,,,,,,0.594,0.551,,,37.3,35.5,
"F04",Absolute Quantification,"ABS","CREC-NT-A-1 (1:50)",Ch1Unknown,"nirK","OK",132,QX200 ddPCR EvaGreen Supermix,2640,,,138,125,1580,13337,1571,9,772,12565,131,14917,,,,,,,,0.655,,,0.697,0.613,39.6,,,41.1,38.1,1,1,8282,13342,5572,6395,"Absolute Quantification Experiment",,,,135,128.4,,,,,,,0.677,0.634,,,40.4,38.8,
"F05",Absolute Quantification,"ABS","CREC-UN-U-2 (1:50)",Ch1Unknown,"nirK","OK",68.8,QX200 ddPCR EvaGreen Supermix,1376,,,73.6,64,792,13150,788,4,553,12597,68.4,13942,,,,,,,,0.58,,,0.63,0.53,36.6,,,38.7,34.6,1,1,7400,11168,5303,5636.2,"Absolute Quantification Experiment",,,,71.3,66.4,,,,,,,0.604,0.552,,,37.7,35.6,
"F06",Absolute Quantification,"ABS","GR-NT-F-2 (1:50)",Ch1Unknown,"nirK","OK",64.5,QX200 ddPCR EvaGreen Supermix,1290,,,69.2,59.8,724,12843,723,1,390,12453,64.4,13567,,,,,,,,0.64,,,0.7,0.58,39,,,41.3,36.8,1,1,7657,12941,5216.8,5628.9,"Absolute Quantification Experiment",,,,66.9,62.1,,,,,,,0.671,0.61,,,40.2,37.9,
"F07",Absolute Quantification,"ABS","WO-CT-U-3 (1:50)",Ch1Unknown,"nirK","OK",73,QX200 ddPCR EvaGreen Supermix,1460,,,78,68,796,12422,784,12,598,11824,71.9,13218,,,,,,,,0.562,,,0.611,0.513,36,,,38,34,1,1,7494,11604,5124.9,5515.1,"Absolute Quantification Experiment",,,,75.7,70.5,,,,,,,0.587,0.537,,,37,35,
"F08",Absolute Quantification,"ABS","WO-UN-U-3 (1:50)",Ch1Unknown,"nirK","OK",161,QX200 ddPCR EvaGreen Supermix,3220,,,168,154,2008,13697,1990,18,1325,12372,159,15705,,,,,,,,0.577,,,0.609,0.545,36.6,,,37.9,35.3,1,1,7907,11881,5227.5,6078.2,"Absolute Quantification Experiment",,,,164.5,157.4,,,,,,,0.593,0.561,,,37.2,35.9,
"G01",Absolute Quantification,"ABS","SM-CT-U-3 (1:10)",Ch1Unknown,"nirK","CHECK",No Call,QX200 ddPCR EvaGreen Supermix,,,,,,0,13536,0,0,34,13502,0,13536,,,,,,,,,,,,,,,,,,1,1,6657,0,6069.6,6069.6,"Absolute Quantification Experiment",,,,,,,,,,,,,,,,,,
"G02",Absolute Quantification,"ABS","SM-NT-U-3 (1:10)",Ch1Unknown,"nirK","OK",11.6,QX200 ddPCR EvaGreen Supermix,232,,,13.5,9.8,151,15192,151,0,98,15094,11.6,15343,,,,,,,,0.6,,,0.73,0.48,37.7,,,42.4,32.9,1,1,7493,12046,5798,5859.4,"Absolute Quantification Experiment",,,,12.6,10.7,,,,,,,0.67,0.54,,,40.1,35.3,
"G03",Absolute Quantification,"ABS","CREC-CT-U-1 (1:50)",Ch1Unknown,"nirK","OK",66.5,QX200 ddPCR EvaGreen Supermix,1330,,,71.2,61.8,774,13310,762,12,521,12789,65.4,14084,,,,,,,,0.59,,,0.64,0.54,37.2,,,39.3,35.1,1,1,7796,11916,5585.5,5933.4,"Absolute Quantification Experiment",,,,68.9,64.1,,,,,,,0.619,0.565,,,38.2,36.1,
"G04",Absolute Quantification,"ABS","CREC-NT-A-2 (1:50)",Ch1Unknown,"nirK","OK",71.5,QX200 ddPCR EvaGreen Supermix,1430,,,76.2,66.8,882,14078,876,6,569,13509,71,14960,,,,,,,,0.6,,,0.65,0.55,37.4,,,39.4,35.5,1,1,7558,11706,5376,5749.2,"Absolute Quantification Experiment",,,,73.9,69.1,,,,,,,0.624,0.573,,,38.4,36.4,
"G05",Absolute Quantification,"ABS","CREC-UN-U-3 (1:50)",Ch1Unknown,"nirK","OK",149,QX200 ddPCR EvaGreen Supermix,2980,,,156,142,1647,12218,1635,12,1049,11169,148,13865,,,,,,,,0.588,,,0.624,0.552,37,,,38.5,35.6,1,1,8050,12149,5367.8,6173.3,"Absolute Quantification Experiment",,,,152.4,145.1,,,,,,,0.606,0.569,,,37.7,36.3,
"G06",Absolute Quantification,"ABS","GR-NT-F-3 (1:50)",Ch1Unknown,"nirK","OK",120,QX200 ddPCR EvaGreen Supermix,2400,,,127,114,1252,11642,1243,9,843,10799,119,12894,,,,,,,,0.579,,,0.619,0.538,36.7,,,38.3,35,1,1,7952,12216,5266.4,5941.3,"Absolute Quantification Experiment",,,,123.6,116.8,,,,,,,0.6,0.558,,,37.5,35.8,
"G07",Absolute Quantification,"ABS","WO-NT-U-1 (1:50)",Ch1Unknown,"nirK","OK",130,QX200 ddPCR EvaGreen Supermix,2600,,,137,124,1520,12993,1510,10,1137,11856,129,14513,,,,,,,,0.549,,,0.584,0.515,35.5,,,36.9,34,1,1,7709,11552,5167.5,5836.1,"Absolute Quantification Experiment",,,,133.5,126.8,,,,,,,0.567,0.532,,,36.2,34.7,
"G08",Absolute Quantification,"ABS","Water",Ch1Negative Control,"nirK","CHECK",No Call,QX200 ddPCR EvaGreen Supermix,,,,,,0,14529,0,0,0,14529,0,14529,,,,,,,,,,,,,,,,,,1,1,0,0,4963.7,4963.7,"",,,,,,,,,,,,,,,,,,
"H01",Absolute Quantification,"ABS","SM-CT-U-3 (1:10)",Ch1Unknown,"nirK","OK",1.7,QX200 ddPCR EvaGreen Supermix,34,,,2.5,1,20,13932,13,7,20,13912,1.1,13952,,,,,,,,0.61,,,0.95,0.27,38,,,51,25,1,1,6612,9506.1,6098.2,6103.1,"Absolute Quantification Experiment",,,,2.09,1.34,,,,,,,0.78,0.43,,,44,31,
"H02",Absolute Quantification,"ABS","SM-UN-U-1 (1:50)",Ch1Unknown,"nirK","OK",53,QX200 ddPCR EvaGreen Supermix,1060,,,57.1,48.9,651,14127,649,2,446,13681,52.8,14778,,,,,,,,0.59,,,0.64,0.53,36.9,,,39.2,34.7,1,1,8066,12746,5770.1,6077.4,"Absolute Quantification Experiment",,,,55.1,50.9,,,,,,,0.614,0.556,,,38.1,35.8,
"H03",Absolute Quantification,"ABS","CREC-CT-U-2_or_3 (1:50)",Ch1Unknown,"nirK","OK",63.7,QX200 ddPCR EvaGreen Supermix,1274,,,68.3,59.1,730,13119,717,13,565,12554,62.5,13849,,,,,,,,0.56,,,0.61,0.51,35.8,,,37.9,33.7,1,1,7628,11717,5544.6,5870,"Absolute Quantification Experiment",,,,66.1,61.4,,,,,,,0.583,0.532,,,36.9,34.7,
"H04",Absolute Quantification,"ABS","CREC-NT-A-3 (1:50)",Ch1Unknown,"nirK","OK",89,QX200 ddPCR EvaGreen Supermix,1780,,,95,84,1059,13451,1042,17,628,12823,87.6,14510,,,,,,,,0.62,,,0.668,0.572,38.3,,,40.1,36.4,1,1,7463,10962,5404.3,5810,"Absolute Quantification Experiment",,,,91.9,86.4,,,,,,,0.644,0.595,,,39.2,37.3,
"H05",Absolute Quantification,"ABS","CREC-UN-U-3 (1:50)",Ch1Unknown,"nirK","OK",154,QX200 ddPCR EvaGreen Supermix,3080,,,161,147,1752,12525,1743,9,1059,11466,153,14277,,,,,,,,0.599,,,0.635,0.563,37.5,,,38.9,36.1,1,1,8117,12428,5374.1,6239.8,"Absolute Quantification Experiment",,,,157.7,150.4,,,,,,,0.618,0.581,,,38.2,36.8,
"H06",Absolute Quantification,"ABS","Water",Ch1Negative Control,"nirK","CHECK",No Call,QX200 ddPCR EvaGreen Supermix,,,,,,0,13420,0,0,0,13420,0,13420,,,,,,,,,,,,,,,,,,1,1,0,0,5169.8,5169.8,"",,,,,,,,,,,,,,,,,,
