Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"B02",Absolute Quantification,"ABS","SM-NT-A-3 (1:10)",Ch1Unknown,"16S","Manual",4580,QX200 ddPCR EvaGreen Supermix,91600,,,4730,4450,12744,265,12593,151,0,265,4050,13009,,,,,,,,1.131,,,1.178,1.084,53.1,,,54.1,52,1,1,8322,11928,6660.1,11821,"",,,,4650,4510,,,,,,,1.155,1.107,,,53.6,52.6,
"B03",Absolute Quantification,"ABS","SM-NT-A-3 (1:50)",Ch1Unknown,"16S","Manual",620,QX200 ddPCR EvaGreen Supermix,12400,,,637,603,5243,7562,5243,0,135,7427,620,12805,,,,,,,,0.967,,,1.004,0.93,49.2,,,50.1,48.2,1,1,8322,12315,6082.8,8634.7,"",,,,628,611,,,,,,,0.986,0.948,,,49.65,48.67,
"B04",Absolute Quantification,"ABS","SM-UN-U-2 (1:1000)",Ch1Unknown,"16S","Manual",66.9,QX200 ddPCR EvaGreen Supermix,1338,,,71.6,62.2,786,13438,786,0,43,13395,66.9,14224,,,,,,,,0.95,,,1.04,0.85,48.6,,,51.1,46.2,1,1,8322,12163,5730,6085.5,"",,,,69.3,64.5,,,,,,,0.994,0.899,,,49.9,47.4,
"B05",Absolute Quantification,"ABS","CREC-CT-U-3 (1:1000)",Ch1Unknown,"16S","Manual",94,QX200 ddPCR EvaGreen Supermix,1880,,,100,89,1133,13608,1133,0,69,13539,94.1,14741,,,,,,,,0.94,,,1.02,0.86,48.5,,,50.5,46.4,1,1,8322,12040,5611.9,6106,"",,,,96.9,91.3,,,,,,,0.979,0.901,,,49.5,47.4,
"B06",Absolute Quantification,"ABS","CREC-NT-U-2 (1:1000)",Ch1Unknown,"16S","Manual",45,QX200 ddPCR EvaGreen Supermix,900,,,48.6,41.4,591,15163,591,0,42,15121,45,15754,,,,,,,,0.93,,,1.04,0.83,48.2,,,51,45.5,1,1,8322,11953,5454.7,5698.4,"",,,,46.8,43.1,,,,,,,0.99,0.88,,,49.7,46.8,
"B07",Absolute Quantification,"ABS","GR-NT-C-3 (1:1000)",Ch1Unknown,"16S","Manual",35.5,QX200 ddPCR EvaGreen Supermix,710,,,38.7,32.4,489,15955,489,0,39,15916,35.5,16444,,,,,,,,0.93,,,1.04,0.81,48.1,,,51.1,45,1,1,8322,11987,5347.9,5545.3,"",,,,37.1,33.9,,,,,,,0.98,0.87,,,49.6,46.5,
"B08",Absolute Quantification,"ABS","GR-NT-S-2 (1:1000)",Ch1Unknown,"16S","Manual",146,QX200 ddPCR EvaGreen Supermix,2920,,,153,139,1599,12087,1599,0,84,12003,146,13686,,,,,,,,0.95,,,1.01,0.88,48.6,,,50.3,46.9,1,1,8322,11837,5216.4,5989.9,"",,,,149.8,142.5,,,,,,,0.98,0.914,,,49.5,47.8,
"B09",Absolute Quantification,"ABS","WO-UN-U-1 (1:1000)",Ch1Unknown,"16S","Manual",223,QX200 ddPCR EvaGreen Supermix,4460,,,232,214,2531,12119,2531,0,136,11983,223,14650,,,,,,,,0.94,,,1,0.89,48.6,,,49.9,47.2,1,1,8322,11835,5237.9,6377.7,"",,,,227.6,218.7,,,,,,,0.97,0.918,,,49.2,47.9,
"C01",Absolute Quantification,"ABS","SM-CT-A-2 (1:10)",Ch1Unknown,"16S","Manual",2750,QX200 ddPCR EvaGreen Supermix,55000,,,2820,2690,11231,1200,11222,9,10,1190,2740,12431,,,,,,,,1,,,1.032,0.967,50,,,50.8,49.2,1,1,8322,12227,6806.7,11703,"",,,,2783,2719,,,,,,,1.016,0.983,,,50.41,49.58,
"C02",Absolute Quantification,"ABS","SM-NT-U-1 (1:10)",Ch1Unknown,"16S","Manual",2276,QX200 ddPCR EvaGreen Supermix,45520,,,2325,2229,11827,1997,11821,6,38,1959,2270,13824,,,,,,,,0.992,,,1.021,0.962,49.8,,,50.5,49,1,1,8322,12217,6511.2,11393,"",,,,2301,2252,,,,,,,1.007,0.977,,,50.17,49.41,
"C03",Absolute Quantification,"ABS","SM-NT-U-1 (1:50)",Ch1Unknown,"16S","Manual",318,QX200 ddPCR EvaGreen Supermix,6360,,,329,307,3066,9882,3066,0,113,9769,318,12948,,,,,,,,0.959,,,1.007,0.911,49,,,50.2,47.7,1,1,8322,12546,6076.2,7608.3,"",,,,324,312,,,,,,,0.984,0.935,,,49.6,48.3,
"C04",Absolute Quantification,"ABS","SM-UN-U-3 (1:1000)",Ch1Unknown,"16S","Manual",40.1,QX200 ddPCR EvaGreen Supermix,802,,,43.7,36.5,478,13796,478,0,36,13760,40.1,14274,,,,,,,,0.93,,,1.04,0.81,48.2,,,51.3,45,1,1,8322,11897,5725.9,5932.6,"",,,,41.9,38.2,,,,,,,0.99,0.87,,,49.7,46.6,
"C05",Absolute Quantification,"ABS","CREC-MT-U-1 (1:1000)",Ch1Unknown,"16S","Manual",40.8,QX200 ddPCR EvaGreen Supermix,816,,,44.2,37.3,545,15457,545,0,33,15424,40.8,16002,,,,,,,,0.94,,,1.05,0.83,48.5,,,51.4,45.6,1,1,8322,12076,5569.4,5791,"",,,,42.5,39,,,,,,,1,0.89,,,50,47,
"C06",Absolute Quantification,"ABS","CREC-NT-U-3 (1:1000)",Ch1Unknown,"16S","Manual",93,QX200 ddPCR EvaGreen Supermix,1860,,,99,88,1223,14796,1223,0,60,14736,93.4,16019,,,,,,,,0.95,,,1.03,0.88,48.8,,,50.7,46.8,1,1,8322,12045,5459.9,5962.7,"",,,,96.1,90.8,,,,,,,0.989,0.913,,,49.8,47.8,
"C07",Absolute Quantification,"ABS","GR-NT-F-1 (1:1000)",Ch1Unknown,"16S","Manual",114,QX200 ddPCR EvaGreen Supermix,2280,,,120,108,1510,14868,1510,0,92,14776,114,16378,,,,,,,,0.94,,,1.01,0.87,48.4,,,50.2,46.7,1,1,8322,11767,5314.7,5909.6,"",,,,116.7,110.9,,,,,,,0.973,0.906,,,49.3,47.5,
"C08",Absolute Quantification,"ABS","GR-NT-S-3 (1:1000)",Ch1Unknown,"16S","Manual",41.3,QX200 ddPCR EvaGreen Supermix,826,,,44.9,37.6,497,13920,497,0,40,13880,41.3,14417,,,,,,,,0.92,,,1.04,0.81,48,,,51.1,45,1,1,8322,11938,5281.8,5511.3,"",,,,43.1,39.4,,,,,,,0.98,0.87,,,49.6,46.5,
"C09",Absolute Quantification,"ABS","WO-UN-U-2 (1:1000)",Ch1Unknown,"16S","Manual",190,QX200 ddPCR EvaGreen Supermix,3800,,,198,183,2263,12881,2263,0,142,12739,190,15144,,,,,,,,0.94,,,0.99,0.88,48.3,,,49.8,46.9,1,1,8322,11915,5273.4,6265.9,"",,,,194.4,186.4,,,,,,,0.963,0.908,,,49.1,47.6,
"D01",Absolute Quantification,"ABS","SM-CT-A-3 (1:10)",Ch1Unknown,"16S","Manual",2830,QX200 ddPCR EvaGreen Supermix,56600,,,2890,2770,12909,1281,12871,38,9,1272,2790,14190,,,,,,,,1.009,,,1.04,0.978,50.2,,,51,49.5,1,1,8322,12094,6782.9,11614,"",,,,2861,2798,,,,,,,1.025,0.994,,,50.63,49.84,
"D02",Absolute Quantification,"ABS","SM-NT-U-2 (1:10)",Ch1Unknown,"16S","Manual",1612,QX200 ddPCR EvaGreen Supermix,32240,,,1647,1578,9796,3337,9796,0,114,3223,1610,13133,,,,,,,,0.975,,,1.005,0.946,49.4,,,50.1,48.6,1,1,8322,12094,6437.3,10656,"",,,,1630,1594,,,,,,,0.99,0.96,,,49.76,48.99,
"D03",Absolute Quantification,"ABS","SM-NT-U-2 (1:50)",Ch1Unknown,"16S","Manual",586,QX200 ddPCR EvaGreen Supermix,11720,,,602,569,4987,7728,4987,0,145,7583,586,12715,,,,,,,,0.963,,,1.001,0.925,49.1,,,50.1,48.1,1,1,8322,12312,6024.5,8490.7,"",,,,594,577,,,,,,,0.983,0.944,,,49.6,48.6,
"D04",Absolute Quantification,"ABS","TE Buffer",Ch1Negative Control,"16S","Manual",0.17,QX200 ddPCR EvaGreen Supermix,3.4,,,0.54,0.03,2,13878,2,0,18,13860,0.17,13880,,,,,,,,,,,,,,,,,,1,1,8322,11998,5762.1,5763,"",,,,0.33,0.07,,,,,,,,,,,,,
"D05",Absolute Quantification,"ABS","CREC-MT-U-2 (1:1000)",Ch1Unknown,"16S","Manual",121,QX200 ddPCR EvaGreen Supermix,2420,,,127,115,1443,13301,1443,0,88,13213,121,14744,,,,,,,,0.94,,,1.01,0.87,48.4,,,50.2,46.6,1,1,8322,12014,5562.9,6194.3,"",,,,124.4,118,,,,,,,0.974,0.905,,,49.4,47.5,
"D06",Absolute Quantification,"ABS","CREC-UN-U-1 (1:1000)",Ch1Unknown,"16S","Manual",196,QX200 ddPCR EvaGreen Supermix,3920,,,205,188,2191,12064,2191,0,106,11958,196,14255,,,,,,,,0.95,,,1.01,0.89,48.7,,,50.2,47.2,1,1,8322,12038,5475.6,6484.2,"",,,,200.5,192.1,,,,,,,0.978,0.921,,,49.5,48,
"D07",Absolute Quantification,"ABS","GR-NT-F-1 (1:1000)",Ch1Unknown,"16S","Manual",141,QX200 ddPCR EvaGreen Supermix,2820,,,148,135,1845,14444,1845,0,103,14341,141,16289,,,,,,,,0.94,,,1,0.88,48.6,,,50.1,47,1,1,8322,11911,5361.2,6103.1,"",,,,144.7,138.1,,,,,,,0.974,0.913,,,49.4,47.7,
"D08",Absolute Quantification,"ABS","WO-CT-U-1 (1:1000)",Ch1Unknown,"16S","Manual",69.2,QX200 ddPCR EvaGreen Supermix,1384,,,73.8,64.6,867,14310,867,0,54,14256,69.2,15177,,,,,,,,0.94,,,1.03,0.85,48.4,,,50.8,46.1,1,1,8322,11908,5271.2,5650.3,"",,,,71.6,66.9,,,,,,,0.984,0.895,,,49.6,47.3,
"D09",Absolute Quantification,"ABS","WO-UN-U-3 (1:1000)",Ch1Unknown,"16S","Manual",133,QX200 ddPCR EvaGreen Supermix,2660,,,140,127,1631,13608,1631,0,78,13530,133,15239,,,,,,,,0.95,,,1.02,0.89,48.8,,,50.5,47.1,1,1,8322,12066,5278.8,6005.3,"",,,,136.5,129.9,,,,,,,0.985,0.919,,,49.6,47.9,
"E01",Absolute Quantification,"ABS","SM-CT-U-1 (1:10)",Ch1Unknown,"16S","Manual",2116,QX200 ddPCR EvaGreen Supermix,42320,,,2163,2070,10406,2065,10405,1,97,1968,2120,12471,,,,,,,,0.974,,,1.004,0.944,49.3,,,50.1,48.6,1,1,8322,11420,6298.9,10572,"",,,,2140,2092,,,,,,,0.99,0.959,,,49.74,48.95,
"E02",Absolute Quantification,"ABS","SM-NT-U-3 (1:10)",Ch1Unknown,"16S","Manual",3620,QX200 ddPCR EvaGreen Supermix,72400,,,3710,3530,12563,609,12554,9,4,605,3600,13172,,,,,,,,1.003,,,1.038,0.967,50.1,,,51,49.2,1,1,8322,12000,6488,11745,"",,,,3664,3571,,,,,,,1.021,0.984,,,50.52,49.61,
"E03",Absolute Quantification,"ABS","SM-NT-U-3 (1:50)",Ch1Unknown,"16S","Manual",623,QX200 ddPCR EvaGreen Supermix,12460,,,640,606,5160,7390,5160,0,127,7263,623,12550,,,,,,,,0.968,,,1.006,0.931,49.2,,,50.2,48.2,1,1,8322,12297,5979.9,8577.2,"",,,,632,614,,,,,,,0.987,0.949,,,49.69,48.7,
"E04",Absolute Quantification,"ABS","CREC-CT-A-1 (1:1000)",Ch1Unknown,"16S","Manual",117,QX200 ddPCR EvaGreen Supermix,2340,,,123,111,1360,12998,1360,0,79,12919,117,14358,,,,,,,,0.94,,,1.01,0.87,48.5,,,50.4,46.7,1,1,8322,12308,5755.6,6376.3,"",,,,120.3,113.9,,,,,,,0.978,0.907,,,49.5,47.6,
"E05",Absolute Quantification,"ABS","CREC-MT-U-3 (1:1000)",Ch1Unknown,"16S","Manual",80,QX200 ddPCR EvaGreen Supermix,1600,,,85,75,976,13831,976,0,40,13791,80.2,14807,,,,,,,,0.96,,,1.04,0.87,49,,,51.2,46.8,1,1,8322,12248,5622.9,6059.6,"",,,,82.8,77.7,,,,,,,1.002,0.916,,,50.1,47.8,
"E06",Absolute Quantification,"ABS","CREC-UN-U-2 (1:1000)",Ch1Unknown,"16S","Manual",144,QX200 ddPCR EvaGreen Supermix,2880,,,151,137,1623,12453,1623,0,87,12366,144,14076,,,,,,,,0.95,,,1.01,0.88,48.6,,,50.3,46.9,1,1,8322,11956,5449.8,6200,"",,,,147.7,140.6,,,,,,,0.979,0.913,,,49.5,47.7,
"E07",Absolute Quantification,"ABS","GR-NT-F-2 (1:1000)",Ch1Unknown,"16S","Manual",52.4,QX200 ddPCR EvaGreen Supermix,1048,,,56.5,48.3,623,13677,623,0,33,13644,52.4,14300,,,,,,,,0.95,,,1.05,0.84,48.7,,,51.4,45.9,1,1,8322,12099,5358,5651.7,"",,,,54.5,50.3,,,,,,,1,0.9,,,50.1,47.3,
"E08",Absolute Quantification,"ABS","WO-CT-U-2 (1:1000)",Ch1Unknown,"16S","Manual",63.3,QX200 ddPCR EvaGreen Supermix,1266,,,67.9,58.7,729,13198,729,0,39,13159,63.3,13927,,,,,,,,0.95,,,1.04,0.85,48.7,,,51.2,46.1,1,1,8322,12068,5317.1,5670.5,"",,,,65.6,60.9,,,,,,,0.997,0.899,,,50,47.4,
"E09",Absolute Quantification,"ABS","Water",Ch1Negative Control,"16S","Manual",0.16,QX200 ddPCR EvaGreen Supermix,3.2,,,0.51,0.02,2,14714,2,0,18,14696,0.16,14716,,,,,,,,,,,,,,,,,,1,1,8322,12664,5251,5252,"",,,,0.31,0.07,,,,,,,,,,,,,
"F01",Absolute Quantification,"ABS","SM-CT-U-2 (1:10)",Ch1Unknown,"16S","Manual",3280,QX200 ddPCR EvaGreen Supermix,65600,,,3360,3200,11685,768,11658,27,3,765,3240,12453,,,,,,,,1.011,,,1.046,0.976,50.3,,,51.1,49.4,1,1,8322,12203,6738,11866,"",,,,3319,3237,,,,,,,1.029,0.993,,,50.72,49.84,
"F02",Absolute Quantification,"ABS","SM-UN-U-1 (1:10)",Ch1Unknown,"16S","Manual",7300,QX200 ddPCR EvaGreen Supermix,146000,,,7790,6880,12887,26,12887,0,26,0,0,12913,,,,,,,,0.0073,,,0.0109,0.0037,0.73,,,1.08,0.37,1,1,8322,11579,6733.4,11569,"",,,,7540,7080,,,,,,,0.0109,0.0037,,,1.08,0.37,
"F03",Absolute Quantification,"ABS","SM-UN-U-1 (1:50)",Ch1Unknown,"16S","Manual",721,QX200 ddPCR EvaGreen Supermix,14420,,,739,703,6194,7329,6194,0,131,7198,721,13523,,,,,,,,0.971,,,1.006,0.937,49.3,,,50.2,48.4,1,1,8322,12374,6007.6,8923.4,"",,,,730,711,,,,,,,0.989,0.954,,,49.73,48.82,
"F04",Absolute Quantification,"ABS","CREC-CT-A-2 (1:1000)",Ch1Unknown,"16S","Manual",108,QX200 ddPCR EvaGreen Supermix,2160,,,114,102,1289,13357,1289,0,71,13286,108,14646,,,,,,,,0.95,,,1.02,0.87,48.6,,,50.5,46.7,1,1,8322,12070,5701.5,6262,"",,,,111.4,105.4,,,,,,,0.982,0.909,,,49.6,47.6,
"F05",Absolute Quantification,"ABS","CREC-NT-A-1 (1:1000)",Ch1Unknown,"16S","Manual",189,QX200 ddPCR EvaGreen Supermix,3780,,,197,181,2108,12122,2108,0,96,12026,189,14230,,,,,,,,0.95,,,1.01,0.9,48.8,,,50.3,47.3,1,1,8322,12326,5634.9,6626.1,"",,,,192.7,184.5,,,,,,,0.982,0.924,,,49.6,48,
"F06",Absolute Quantification,"ABS","CREC-UN-U-3 (1:1000)",Ch1Unknown,"16S","Manual",397,QX200 ddPCR EvaGreen Supermix,7940,,,409,385,4301,10706,4301,0,180,10526,397,15007,,,,,,,,0.952,,,0.992,0.912,48.8,,,49.8,47.7,1,1,8322,12007,5484.4,7353.8,"",,,,403,391,,,,,,,0.973,0.932,,,49.3,48.2,
"F07",Absolute Quantification,"ABS","GR-NT-F-2 (1:1000)",Ch1Unknown,"16S","Manual",39.7,QX200 ddPCR EvaGreen Supermix,794,,,43.2,36.2,497,14488,497,0,38,14450,39.7,14985,,,,,,,,0.93,,,1.04,0.81,48.1,,,51.2,45.1,1,1,8322,11939,5330.9,5550,"",,,,41.5,37.9,,,,,,,0.99,0.87,,,49.7,46.6,
"F08",Absolute Quantification,"ABS","WO-CT-U-3 (1:1000)",Ch1Unknown,"16S","Manual",31.3,QX200 ddPCR EvaGreen Supermix,626,,,34.6,28,353,13098,353,0,29,13069,31.3,13451,,,,,,,,0.92,,,1.06,0.79,48,,,51.6,44.4,1,1,8322,12186,5346.9,5526.3,"",,,,33,29.6,,,,,,,0.99,0.85,,,49.8,46.2,
"F09",Absolute Quantification,"ABS","CREC-UN-U-2 (1:1000)",Ch1Unknown,"16S","Manual",123,QX200 ddPCR EvaGreen Supermix,2460,,,129,116,1476,13440,1476,0,85,13355,123,14916,,,,,,,,0.94,,,1.01,0.88,48.5,,,50.3,46.7,1,1,8322,11602,5194.5,5828.6,"",,,,125.8,119.4,,,,,,,0.977,0.908,,,49.4,47.6,
"G01",Absolute Quantification,"ABS","SM-CT-U-3 (1:10)",Ch1Unknown,"16S","Manual",673,QX200 ddPCR EvaGreen Supermix,13460,,,691,655,5465,7078,5464,1,110,6968,673,12543,,,,,,,,0.974,,,1.01,0.937,49.3,,,50.3,48.4,1,1,8322,12726,6586.2,9261.4,"",,,,682,664,,,,,,,0.992,0.955,,,49.81,48.85,
"G02",Absolute Quantification,"ABS","SM-UN-U-2 (1:10)",Ch1Unknown,"16S","Manual",5820,QX200 ddPCR EvaGreen Supermix,116400,,,6070,5590,12977,93,12977,0,15,78,5820,13070,,,,,,,,0.97,,,1.02,0.91,49.1,,,50.6,47.6,1,1,8322,11670,6397.5,11633,"",,,,5940,5700,,,,,,,0.995,0.936,,,49.9,48.4,
"G03",Absolute Quantification,"ABS","SM-UN-U-2 (1:50)",Ch1Unknown,"16S","Manual",1332,QX200 ddPCR EvaGreen Supermix,26640,,,1359,1304,10044,4780,10044,0,136,4644,1330,14824,,,,,,,,0.975,,,1.004,0.947,49.4,,,50.1,48.6,1,1,8322,12021,5909.8,10050,"",,,,1346,1318,,,,,,,0.99,0.961,,,49.74,49,
"G04",Absolute Quantification,"ABS","CREC-CT-A-3 (1:1000)",Ch1Unknown,"16S","Manual",114,QX200 ddPCR EvaGreen Supermix,2280,,,120,107,1328,13109,1328,0,71,13038,114,14437,,,,,,,,0.95,,,1.02,0.88,48.6,,,50.5,46.8,1,1,8322,12133,5669.2,6263.7,"",,,,116.6,110.4,,,,,,,0.983,0.91,,,49.6,47.7,
"G05",Absolute Quantification,"ABS","CREC-NT-A-2 (1:1000)",Ch1Unknown,"16S","Manual",131,QX200 ddPCR EvaGreen Supermix,2620,,,137,124,1554,13206,1554,0,82,13124,131,14760,,,,,,,,0.95,,,1.01,0.88,48.6,,,50.4,46.9,1,1,8322,12304,5650.4,6351,"",,,,134.2,127.6,,,,,,,0.981,0.913,,,49.5,47.8,
"G06",Absolute Quantification,"ABS","TE Buffer",Ch1Negative Control,"16S","Manual",0.4,QX200 ddPCR EvaGreen Supermix,8,,,0.86,0.14,5,14779,5,0,14779,0,0,14784,,,,,,,,,,,,,,,,,,1,1,8322,12016,5380.2,5382.5,"",,,,0.61,0.24,,,,,,,,,,,,,
"G07",Absolute Quantification,"ABS","GR-NT-F-3 (1:1000)",Ch1Unknown,"16S","Manual",93,QX200 ddPCR EvaGreen Supermix,1860,,,98,88,1182,14389,1182,0,63,14326,92.9,15571,,,,,,,,0.95,,,1.02,0.87,48.6,,,50.6,46.7,1,1,8322,12023,5390.6,5894.1,"",,,,95.6,90.2,,,,,,,0.986,0.909,,,49.7,47.6,
"G08",Absolute Quantification,"ABS","WO-NT-U-1 (1:1000)",Ch1Unknown,"16S","Manual",63.1,QX200 ddPCR EvaGreen Supermix,1262,,,67.7,58.6,746,13532,746,0,50,13482,63.1,14278,,,,,,,,0.94,,,1.03,0.84,48.3,,,50.8,45.8,1,1,8322,11898,5304.8,5649.3,"",,,,65.4,60.8,,,,,,,0.983,0.888,,,49.6,47.1,
"G09",Absolute Quantification,"ABS","CREC-UN-U-2 (1:2000)",Ch1Unknown,"16S","Manual",64.8,QX200 ddPCR EvaGreen Supermix,1296,,,69.3,60.3,789,13940,789,0,61,13879,64.8,14729,,,,,,,,0.93,,,1.02,0.84,48.1,,,50.5,45.7,1,1,8322,11478,5167.1,5505.2,"",,,,67.1,62.5,,,,,,,0.972,0.88,,,49.3,46.9,
"H01",Absolute Quantification,"ABS","SM-NT-A-1 (1:10)",Ch1Unknown,"16S","Manual",2850,QX200 ddPCR EvaGreen Supermix,57000,,,2920,2780,11083,1080,11021,62,2,1078,2780,12163,,,,,,,,1.023,,,1.057,0.989,50.6,,,51.4,49.7,1,1,8322,12115,6662.7,11631,"",,,,2883,2815,,,,,,,1.04,1.006,,,50.99,50.14,
"H02",Absolute Quantification,"ABS","SM-UN-U-3 (1:10)",Ch1Unknown,"16S","Manual",8600,QX200 ddPCR EvaGreen Supermix,172000,,,9600,7900,12188,8,12188,0,1,7,8620,12196,,,,,,,,0.98,,,1.12,0.84,49.5,,,53.1,46,1,1,8322,11484,6399,11480,"",,,,9070,8230,,,,,,,1.05,0.91,,,51.3,47.8,
"H03",Absolute Quantification,"ABS","SM-UN-U-3 (1:50)",Ch1Unknown,"16S","Manual",751,QX200 ddPCR EvaGreen Supermix,15020,,,770,733,6683,7475,6683,0,309,7166,751,14158,,,,,,,,0.938,,,0.97,0.906,48.4,,,49.3,47.5,1,1,8322,11786,5872.8,8663.8,"",,,,761,742,,,,,,,0.954,0.922,,,48.84,47.97,
